Date,Open,High,Low,Close,Volume,Open Interest
2017-05-04,28371.0,28371.0,28020.0,28072.0,11104.0,6246.0
2017-05-05,28140.0,28250.0,28055.0,28072.0,9842.0,6374.0
2017-05-08,28118.0,28237.0,28071.0,28091.0,7866.0,6310.0
2017-05-09,28141.0,28174.0,27951.0,27971.0,10876.0,6684.0
2017-05-10,28086.0,28145.0,27970.0,27996.0,7397.0,6760.0
2017-05-11,27984.0,28093.0,27932.0,28004.0,8896.0,6593.0
2017-05-12,28008.0,28129.0,27972.0,28005.0,7929.0,6804.0
2017-05-15,28024.0,28142.0,27982.0,27992.0,9566.0,6652.0
2017-05-16,28020.0,28135.0,28020.0,28094.0,7840.0,6119.0
2017-05-17,28150.0,28645.0,28150.0,28619.0,12481.0,4898.0
2017-05-18,28650.0,29004.0,28567.0,28705.0,17262.0,4180.0
2017-05-19,28647.0,28785.0,28530.0,28635.0,9633.0,4077.0
2017-05-22,28593.0,28800.0,28564.0,28785.0,8151.0,4054.0
2017-05-23,28850.0,28935.0,28755.0,28811.0,10161.0,3994.0
2017-05-24,28750.0,28760.0,28645.0,28713.0,8034.0,3965.0
2017-05-25,28750.0,28765.0,28630.0,28661.0,7815.0,3734.0
2017-05-26,28715.0,28904.0,28705.0,28888.0,8625.0,3417.0
2017-05-29,28870.0,28941.0,28832.0,28900.0,4762.0,3013.0
2017-05-30,28949.0,28986.0,28712.0,28741.0,8652.0,2254.0
2017-05-31,28705.0,28880.0,28643.0,28843.0,5622.0,911.0
2017-06-01,28777.0,28894.0,28636.0,28653.0,5318.0,5069.0
2017-06-02,28629.0,28905.0,28600.0,28871.0,113.0,55.0
2017-06-05,29204.0,29299.0,29172.0,29217.0,6860.0,4623.0
2017-06-06,29280.0,29585.0,29280.0,29567.0,10746.0,5562.0
2017-06-07,29524.0,29544.0,29388.0,29440.0,9480.0,5413.0
2017-06-08,29350.0,29405.0,29020.0,29131.0,11496.0,4700.0
2017-06-09,29101.0,29101.0,28905.0,29019.0,9190.0,4611.0
2017-06-12,28951.0,29049.0,28930.0,28993.0,8848.0,4615.0
